libxdmcp 1.1.5-1.2
libxext 1.3.6-1.2
libxfixes 6.0.2-1.1
libxfont2 2.0.7-1.1
libxft 2.3.9-1.2
libxi 1.8.2-1.1
libxinerama 1.1.5-2.1
libxkbcommon 1.11.0-1.1
libxkbcommon-x11 1.11.0-1.1
libxkbfile 1.1.3-1.1
libxml2 2.15.0-1.1
libxmu 1.2.1-1.1
libxrandr 1.5.4-1.1
libxrender 0.9.12-1.1
libxres 1.2.3-1.1
libxshmfence 1.3.3-1.1
libxslt 1.1.43-2.1
libxss 1.2.5-1.1
libxt 1.3.1-1.1
libxtst 1.2.5-1.1
libxv 1.0.13-1.1
libxxf86vm 1.1.6-1.1
libzip 1.11.4-1.2
licenses 20240728-1
lilv 0.24.26-1
limine 10.0.1-1
limine-mkinitcpio-hook 1.24.0-1
limine-snapper-sync 1.15.0-1
linux-api-headers 1:6.16-2
linux-cachyos 6.16.8-2
linux-cachyos-headers 6.16.8-2
linux-cachyos-lts 6.12.48-2
linux-cachyos-lts-headers 6.12.48-2
linux-firmware 1:20250808-1
linux-firmware-amdgpu 1:20250808-1
linux-firmware-atheros 1:20250808-1
linux-firmware-broadcom 1:20250808-1
linux-firmware-cirrus 1:20250808-1
linux-firmware-intel 1:20250808-1
linux-firmware-mediatek 1:20250808-1
linux-firmware-nvidia 1:20250808-1
linux-firmware-other 1:20250808-1
linux-firmware-radeon 1:20250808-1
linux-firmware-realtek 1:20250808-1
linux-firmware-whence 1:20250808-1
lld 20.1.8-1.1
llhttp 9.2.1-2.1
llvm 20.1.8-2
llvm-libs 20.1.8-2
lm_sensors 1:3.6.2-1.1
lmdb 0.9.33-1.1
logrotate 3.22.0-1.1
lsb-release 2.0.r55.a25a4fc-1
lsscsi 0.32-2.2
lua 5.4.8-2.1
lv2 1.18.10-1
lvm2 2.03.35-1.1
lz4 1:1.10.0-3
lzo 2.10-5.1
m4 1.4.20-1.1
mailcap 2.1.54-2
make 4.4.1-2.1
mako 1.10.0-1.1
man-db 2.13.1-1.1
man-pages 6.15-1
md4c 0.5.2-1.1
mdadm 4.4-2
meld 3.22.3-1
mesa 1:25.2.3-3
mesa-utils 9.0.0-7.1
micro 2.0.14-1.1
mjpegtools 2.2.1-3.1
mkinitcpio 39.2-6
mkinitcpio-busybox 1.36.1-1.1
mobile-broadband-provider-info 20250613-1
modemmanager 1.24.2-1.1
mpdecimal 4.0.1-1.1
mpfr 4.2.2-1.1
mpg123 1.33.2-1.1
mtdev 1.1.7-1.1
mtools 1:4.0.49-1.1
nano 8.6-1.1
nano-syntax-highlighting 2025.07.01.r0.g256995b-2
ncurses 6.5-4.1
neon 0.35.0-1
netctl 1.29-2
nettle 3.10.2-1.1
network-manager-applet 1.36.0-1
networkmanager 1.54.1-1
networkmanager-openvpn 1.12.3-1.1
networkmanager-vpn-plugin-openvpn 1.12.3-1.1
nfs-utils 2.8.4-1.1
nfsidmap 2.8.4-1.1
nftables 1:1.1.5-1.1
nilfs-utils 2.2.11-1.1
nm-connection-editor 1.36.0-1
noto-color-emoji-fontconfig 1.0.0-2
noto-fonts 1:2025.09.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
npth 1.8-1.1
nspr 4.37-1.1
nss 3.116-1.1
nss-mdns 0.15.1-2.1
ntp 4.2.8.p18-4
ocl-icd 2.3.3-1.1
octopi 0.18.0-1
oh-my-zsh-git r7425.7ed475cb5-1
oniguruma 6.9.10-1.1
openal 1.24.3-1.1
opencl-mesa 1:25.2.3-3
opencore-amr 0.1.6-2.1
opendesktop-fonts 1.4.2-7
openexr 3.4.0-1.1
openh264 2.6.0-1.1
openjpeg2 2.5.4-1.1
openssh 10.0p1-5.1
openssl 3.5.3-1.1
openvpn 2.6.15-1.1
opus 1.5.2-1.1
orc 0.4.41-1.1
os-prober 1.83-1.1
otf-font-awesome 7.0.1-1
p11-kit 0.25.9-1.1
pacman 7.0.0.r7.g1f38429-1
pacman-contrib 1.13.0-1.1
pacman-mirrorlist 20250702-2
pacutils 0.15.0-2
pahole 1:1.30-2.1
pam 1.7.1-1.1
pambase 20250719-1
pamixer 1.6-3.1
pango 1:1.57.0-1.1
pangomm 2.46.4-1.4
pangomm-2.48 2.56.1-1.2
parallel 20250922-1
paru 2.1.0-1
patch 2.8-1.1
pavucontrol 1:6.2-1.1
pciutils 3.14.0-1.1
pcre 8.45-4.1
pcre2 10.46-1.1
pcsclite 2.3.3-1.1
perl 5.42.0-1.1
perl-clone 0.47-2.1
perl-encode-locale 1.05-14
perl-error 0.17030-2
perl-file-listing 6.16-5
perl-html-parser 3.83-2.1
perl-html-tagset 3.24-3
perl-http-cookiejar 0.014-4
perl-http-cookies 6.11-3
perl-http-daemon 6.16-5
perl-http-date 6.06-4
perl-http-message 7.00-2
perl-http-negotiate 6.01-15
perl-io-html 1.004-7
perl-libwww 6.80-1
perl-lwp-mediatypes 6.04-7
perl-mailtools 2.22-2
perl-net-http 6.24-1
perl-timedate 2.33-8
perl-try-tiny 0.32-3
perl-uri 5.32-2
perl-www-robotrules 6.02-15
perl-xml-parser 2.47-3.1
perl-xml-writer 0.900-5
pinentry 1.3.2-2.1
pipewire 1:1.4.8-2.1
pipewire-alsa 1:1.4.8-2.1
pipewire-audio 1:1.4.8-2.1
pipewire-pulse 1:1.4.8-2.1
pixman 0.46.4-1.1
pkcs11-helper 1.30.0-2.1
pkgconf 2.5.1-1.1
pkgfile 25-1.1
playerctl 2.4.1-4.1
plocate 1.1.23-1.1
plymouth 24.004.60-11.1
polkit 126-2.1
polkit-kde-agent 6.4.5-1.1
polkit-qt6 0.200.0-1
poppler 25.09.1-1.1
poppler-glib 25.09.1-1.1
popt 1.19-2.1
portaudio 1:19.7.0-3.2
power-profiles-daemon 0.30-1
powerline-fonts 2.8.4-3.1
ppp 2.5.2-1.1
pps-tools 1.0.3-2.1
procps-ng 4.0.5-3.1
protobuf 32.1-1.1
psmisc 23.7-1.1
pugixml 1.15-2.1
pv 1.9.34-1.1
python 3.13.7-2
python-annotated-types 0.7.0-2
python-autocommand 2.2.2-7
python-cairo 1.28.0-1.1
python-dbus 1.4.0-1
python-defusedxml 0.7.1-7
python-gobject 3.54.2-2
python-jaraco.collections 5.1.0-1
python-jaraco.context 6.0.1-1
python-jaraco.functools 4.1.0-1
python-jaraco.text 4.0.0-2
python-mako 1.3.10-1
python-markdown 3.9.0-1
python-markupsafe 3.0.2-1.2
python-more-itertools 10.8.0-1
python-orjson 3.11.3-1.1
python-packaging 25.0-1
python-platformdirs 4.4.0-1
python-psutil 7.1.0-1.1
python-pydantic 2.11.9-1
python-pydantic-core 3:2.33.2-1.1
python-pyxdg 0.28-4
python-setuptools 1:80.9.0-2
python-typing-inspection 0.4.1-1
python-typing_extensions 4.15.0-1
python-wheel 0.45.1-1
qrencode 4.1.1-4.6
qt-sudo 2.2.0-1
qt5-base 5.15.17+kde+r123-2.1
qt5-svg 5.15.17+kde+r5-1.1
qt5-translations 5.15.17-1
qt5ct 1.9-1.1
qt6-base 6.9.2-1.1
qt6-declarative 6.9.2-1.1
qt6-multimedia 6.9.2-3.1
qt6-multimedia-ffmpeg 6.9.2-3.1
qt6-svg 6.9.2-1.1
qt6-translations 6.9.2-1
qt6-wayland 6.9.2-1.1
qtermwidget 2.2.0-1.1
raptor 2.0.16-8.1
rate-mirrors 0.22.0-2
rav1e 0.7.1-1.1
re2 1:20240702-7.1
readline 8.3.001-1.1
rebuild-detector 4.4.5-1
reflector 2023-3
ripgrep 14.1.1-2
rofi 2.0.0-1.1
rofi-emoji 4.1.0-2.1
rpcbind 1.2.8-1.1
rsync 3.4.1-2.1
rtkit 0.13-3
rtmpdump 1:2.4.r105.6f6bb13-1.1
rubberband 4.0.0-1.1
run-parts 5.23.1-1.1
s-nail 14.9.25-1.1
sbc 2.1-1.1
scx-manager 1.15.5-1
scx-scheds 1.0.16-1
sd 1.0.0-1.1
sdbus-cpp 2.1.0-2.1
sddm 0.21.0-8
sdl2-compat 2.32.56-2.1
sdl3 3.2.22-1.1
seatd 0.9.1-1.1
sed 4.9-3.2
serd 0.32.4-1.1
sg3_utils 1.48-1.2
shaderc 2025.3-1.1
shadow 4.18.0-1.1
shared-mime-info 2.4-2.1
slang 2.3.3-4.1
slurp 1.5.0-1.1
smartmontools 7.5-1.1
snap-pac 3.0.1-3
snapper 0.13.0-1.1
snappy 1.2.2-2.1
sndio 1.10.0-1.4
sof-firmware 2025.05.1-1
sord 0.16.18-1.1
sound-theme-freedesktop 0.8-6
soundtouch 2.4.0-1.1
spandsp 0.0.6-6
spdlog 1.15.3-1.1
speex 1.2.1-2.1
speexdsp 1.2.1-2.1
spirv-llvm-translator 20.1.5-1.1
spirv-tools 1:1.4.321.0-1.1
sqlite 3.50.4-2
sratom 0.6.18-1
srt 1.5.4-1.1
startup-notification 0.12-9.1
sudo 1.9.17.p1-1.1
svt-av1 3.1.2-2
svt-hevc 1.5.1-3.2
swappy 1.8.0-1.1
swaybg 1.2.1-1.1
swaylock-effects-git r470.496059a-1
swaylock-fancy-git r237.f4ebb82-1
sysfsutils 2.1.1-2.2
systemd 258-4
systemd-libs 258-4
systemd-resolvconf 258-4
systemd-sysvcompat 258-4
tar 1.35-2.1
tcl 8.6.16-1.1
tdb 1.4.14-1.1
tealdeer 1.7.2-1.1
texinfo 7.2-1.1
thin-provisioning-tools 1.2.1-1.1
tinysparql 3.10.0-1
tomlplusplus 3.4.0-1.1
tpm2-tss 4.1.3-1.1
tslib 1.23-1.1
ttf-bitstream-vera 1.10-16
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-fantasque-nerd 3.4.0-1
ttf-fira-sans 1:4.301-2
ttf-hack 3.003-7
ttf-liberation 2.1.5-2
ttf-meslo-nerd 3.4.0-1
ttf-opensans 3.003-1
tzdata 2025b-1.1
ufw 0.36.2-5
unrar 1:7.1.10-1.1
unzip 6.0-23.1
upower 1.90.10-1.1
usb_modeswitch 2.6.2-1.1
usbutils 018-1.1
util-linux 2.41.2-1.1
util-linux-libs 2.41.2-1.1
uwsm 0.23.3-1
v4l-utils 1.30.1-1.1
vapoursynth 72-1.1
vi 1:070224-6.1
vid.stab 1.1.1-2.1
